name,padrillo,M,PRS,PR,PS,Sire_Stk_Wnrs_Rnrs,MSib_StkWnrs_Offs,MomSib_Sibs_at2y,Dam_Mean_T3_BSN,Dam_Raced_STK,Dam_Placed_STK,Dam_Total_Rcs,Best_Foal_Bsn,Best_Foal_Raced_Stk,Best_Foal_Placed_Stk,Dam_Sib_Total_G1G2,DamSibs_G1G2_Total,ownCharac,father,Fathsiblings,mother,Momsiblings,uncles,maternalParents,inbreedingCoefficient,M_age_at_birth,M_season,studbook_id,birth_eday,sex,lote,haras,link
A HI DAY,HI HAPPY,ASPEN DAYS,.034966771,.53150666,.065788023,.073394492,0,5,123.89847,YES,Yes,18,92.78614,No,No,0,0,.11638281,.32083964,.058654487,-.014360387,.095036209,.029049188,.055423465,.0865460623099352,13.016438,8,441697,15jul2023,1,53,ABOLENGO,https://arg-sales.com/remates/view/344
ABRAZADORA,SOVEREIGN (IRE),ABIDE (FR),.026632471,.65397918,.04072373,.044452887,0,10,,No,No,0,91.587898,YES,No,1,.01923077,-.048485428,.02196908,.039156273,.18646607,-.026949987,-.05748992,.031823486,.0380889541993383,21.539726,10,447011,08oct2023,1,47,EL MALLÍN,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
ACCIONADO BOY,SUGGESTIVE BOY,ACCIONADORA,.018174689,.60528964,.030026434,.06666667,0,1,105.81421,YES,YES,7,,No,No,0,,.066798687,.011624485,.057427838,.16365804,-.096303806,-.011484046,.005259525,.0315076891711215,8.8547945,4,442211,04aug2023,2,10,La Esperanza,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/101
AFRO HOUSE,UNCLE CHUCK (USA),ALBINIA,.008522178,.65796816,.012952265,.044452887,0,4,107.43984,No,No,10,73.905251,No,No,0,0,-.012222171,-.068622753,-.064553447,.044597074,-.10593104,-.04282745,-.0082113147,.0309940703518805,10.947946,6,443339,06sep2023,2,8,Las Retamas,https://www.fallowremates.com/plataforma-remates/clientes/remates/listado/100
AGEMILIANO,GOUVERNEUR MORRIS (USA),ATTICA SALE,.017443417,.73070687,.023871975,.044452887,0,3,110.28892,YES,YES,10,,No,No,0,,-.012703031,.060747832,-.027805567,.10510875,-.16154096,-.013288427,-.016691774,.0277426663515143,9.9835615,5,443198,05sep2023,2,1,LA PASIÓN,https://antoniobullrich.com/remates/gran-venta-seleccion-haras-la-pasion-14h/lotes
AIRPLANE MODE,ANGIOLO,SINTONIA FINA,.018032426,.69677687,.025879771,.059701491,0,3,82.336716,Yes,No,6,95.881767,No,No,0,0,-.067154348,.0072841793,.012389109,.037979826,-.041460976,.014603328,-.014918739,.0641849070525495,8.065753,4,446656,18oct2023,2,15,EL PARAISO,https://arg-sales.com/remates/view/346
AKI,CIMA DE TRIOMPHE (IRE),ACCESS CODE (USA),.033655815,.67095858,.050160795,.039215688,0,4,,No,No,0,112.15607,YES,YES,1,.052631579,-.1019271,.060947627,.036994129,.07704585,.06278494,-.036151495,-.029970067,.0350063014921034,9.4958906,6,445321,20oct2023,2,34,LA LEYENDA,https://antoniobullrich.com/remates/copa-bullrich-abril-14h/lotes
ALL ENDS WELL,ANGIOLO,SURREY HILL,.014175502,.539253,.026287293,.059701491,0,10,,No,No,0,99.884758,No,No,0,0,-.060101926,.0072841793,.012595594,-.012512743,.053437829,-.027303582,-.014918739,.0644126616825815,15.210958,10,446208,14oct2023,1,60,EL PARAISO,https://arg-sales.com/remates/view/346
AMOR INCONDICIONAL,ANGIOLO,FALA MINHA FILHA,.017347757,.75414264,.023003282,.059701491,0,2,,No,No,0,56.915459,No,No,0,0,.015711665,.0072841793,.017056763,-.040260851,-.16980611,.020509955,.026137836,.0261891005357029,8.9315071,6,444594,01sep2023,2,35,EL PARAISO,https://arg-sales.com/remates/view/346
AMOR PROPIO,ANGIOLO,SYRACUSE,.02807834,.60673374,.046277862,.059701491,.11111111,9,93.17897,No,No,16,93.479088,YES,YES,4,.060606062,.080946594,.0072841793,.02062282,-.012512743,.29684886,-.027303582,-.014918739,.0669960541708861,16.016438,10,441962,26jul2023,2,7,EL PARAISO,https://arg-sales.com/remates/view/346
